,name,salary_from,salary_to,salary_currency,area_name,published_at
265,Аналитик 1С ERP,,,,Новосибирск,2022-12-26T05:39:43+0300
266,Автор по информационной безопасности,,50000.0,RUR,Ростов-на-Дону,2022-12-26T05:31:44+0300
267,Автор по информационной безопасности,,50000.0,RUR,Астана,2022-12-26T05:31:43+0300
268,Сервисный инженер (горно-шахтное оборудование),60000.0,,RUR,Новокузнецк,2022-12-26T05:41:12+0300
269,Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-26T05:40:35+0300
270,Программист 1С,100000.0,,RUR,Новосибирск,2022-12-26T05:39:43+0300
271,Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-26T05:41:00+0300
272,Автор по информационной безопасности,,50000.0,RUR,Новосибирск,2022-12-26T05:31:43+0300
273,Android Developer ( middle++\ senior),250000.0,,RUR,Новосибирск,2022-12-26T05:20:02+0300
274,Автор по информационной безопасности,,50000.0,RUR,Омск,2022-12-26T05:31:43+0300
275,Сетевой инженер и администратор серверного оборудования (Балашиха или Волгоград),,,,Балашиха,2022-12-26T05:56:12+0300
276,Автор по информационной безопасности,,50000.0,RUR,Самара,2022-12-26T05:31:43+0300
277,Автор по информационной безопасности,,50000.0,RUR,Челябинск,2022-12-26T05:31:43+0300
278,Ученик мастера по ремонту и обслуживанию бытовой техники,80000.0,150000.0,RUR,Новосибирск,2022-12-26T05:05:44+0300
279,Автор по информационной безопасности,,50000.0,RUR,Нижний Новгород,2022-12-26T05:31:43+0300
280,Автор по информационной безопасности,,50000.0,RUR,Екатеринбург,2022-12-26T05:31:43+0300
281,Сервисный инженер (горно-шахтное оборудование),60000.0,,RUR,Осинники,2022-12-26T05:41:12+0300
282,Сервисный инженер (горно-шахтное оборудование),60000.0,,RUR,Прокопьевск,2022-12-26T05:41:12+0300
283,Сетевой инженер и администратор серверного оборудования (Балашиха или Волгоград),,,,Екатеринбург,2022-12-26T05:56:11+0300
284,Оператор станка с ЧПУ,60000.0,100000.0,RUR,Оренбург,2022-12-26T06:46:27+0300
285,Дизайнер,,,,Алматы,2022-12-26T06:13:43+0300
286,Network Engineer,,,,Алматы,2022-12-26T06:51:07+0300
287,Младший системный администратор,,11500.0,RUR,Томск,2022-12-26T06:57:58+0300
288,Аналитик,90000.0,,RUR,Барнаул,2022-12-26T06:51:48+0300
289,Оператор станков с ЧПУ,47000.0,,RUR,Екатеринбург,2022-12-26T06:06:32+0300
